"Molecule ChEMBL ID","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","Target ChEMBL ID","Energy","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumStereocenters","NumUnspecifiedStereocenters","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
"CHEMBL276126","O=C(O)CN1C(=O)S/C(=C\c2ccc(-c3cc(C(F)(F)F)ccc3Cl)o2)C1=O","IC50","'='",5900,"nM","CHEMBL4372",-18.4921770963012,4.739700000000002,94.46880000000002,176.83500814789446,87.82,431.77499999999986,430.9842057280002,6,1,4,1,6,2,11,28,37,0,0,3,2,1,1,1,1,1,1,0,0,0.11764705882352941,14.480986757266225,8.004203555060798,6.1485468053238135,4.091865410189199,2.7540606188397225,11.217990791587706,4.8089690441170685,2.970390799247605,1.8569596469342375,-2.7199999999999993,11.322436081487972,7.361133212023462,4.070848280713146,0,33.62127433674927,15.76537288558712,0,22.289767359933194,39.53438098925987,5.022633313741326,18.80697031383964,0,17.96578232709628,0,23.36282483962363,48.04688427276228,1.4311996572326342,4.899909730850478,0,6.176298517443475,6.496859684315945,51.46356227651928,0,11.323698910571437,46.53059331613484,9.52595912816056,19.28352128306594,0,13.171245143024459,0,11.600939890232516,41.97397848770759,11.615523237732562,26.457289768690124,18.017354522064828,0,0,12.577591099756427,12.145603805395325,17,3,1,0,0,1,0,0,1,4,1,28,19,4,0,11,5,0,4,11,6,0,0,0,0,7,1,2,2,2,14,0,0,0,2,1,0,0,0,0,0,0
"CHEMBL3099031","Cc1cc(N)c2cc(NC(=O)c3ccc(-c4ccc5ncccc5c4)cc3)ccc2n1","IC50","'='",1246,"nM","CHEMBL4372",91.92341226239965,5.592920000000003,126.02459999999999,207.40295566651739,80.89999999999999,404.47299999999984,404.1637112600006,5,3,5,2,4,1,5,31,51,0,0,5,5,0,0,2,0,0,3,0,0,0.038461538461538464,15.197102672463696,8.519371729481785,5.995400148658335,3.9827481050120976,2.5904051726416526,18.36101251598166,5.995400148658335,3.9827481050120976,2.5904051726416526,-4.249999999999999,6.886620641122085,7.536079011018543,3.6887311312518847,11.029530329014648,15.875136771245923,0,6.851892117295679,39.35481212551103,84.72433841043761,4.235526234984602,32.9327528475561,0,11.374772549367124,0,0,32.33295887395016,0,9.967957041894417,0,6.851892117295679,11.029530329014648,95.98171789698307,0,11.126902983393991,39.08780214288074,11.029530329014648,14.76249422596624,0,0,0,24.16967483065318,72.36056346965933,43.6897713441676,30.224021221615597,0,4.235526234984602,0,5.907179729351506,0,26,0,0,0,0,0,0,2,2,1,0,31,26,1,0,14,14,0,5,6,5,0,0,0,0,1,0,3,1,2,24,0,0,0,0,5,0,0,0,0,4,2
"CHEMBL202623","Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)C)ccc1F","IC50","'='",120,"nM","CHEMBL4372",10.815163553705998,0.9424199999999999,70.01370000000001,140.64416784560845,95.5,304.3429999999997,304.08930624400045,6,3,9,3,4,1,8,20,37,1,0,1,1,0,0,0,0,0,1,0,0,0.4166666666666667,10.130129697256185,5.932989156272519,4.6204614255134535,2.8784739170207843,1.815520444272348,12.795601308935659,3.0795062695582205,1.7355097753678972,0.9034484698402541,-1.51,4.49060164817301,6.293346459792714,3.7482113245347346,10.188240961137378,25.552403003073884,14.817828337479405,18.563070643704652,38.45785551267144,23.02273959850766,4.254883813889036,0,0,4.39041504767482,0,0,46.25778663739152,0,10.188240961137378,5.893957685363079,31.46905229575446,0,29.507928455732774,0,0,15.930470882759089,0,10.00407100511562,18.281333379407002,4.715119613734132,0,13.703784234591359,36.43655741734564,13.7075855617022,10.378517700198655,13.246955387723741,1.4118420783282006,11.454490810640218,5.907179729351506,0,12,1,0,0,0,1,0,2,0,4,0,20,28,3,0,3,3,0,9,10,6,0,0,0,0,4,1,3,6,0,6,0,0,0,0,1,0,0,0,0,0,0
"CHEMBL202104","Cc1cccc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)C)c1","IC50","'='",1290,"nM","CHEMBL4372",13.446689451669712,0.8033199999999995,70.05570000000003,137.88360294285002,95.5,286.35299999999967,286.0987280560005,6,3,9,3,4,1,7,19,37,1,0,1,1,0,0,0,0,0,1,0,0,0.4166666666666667,9.752165224246959,5.744006919767906,4.43147918900884,2.736737239642324,1.7682748851461947,13.106619072431046,2.8905240330536066,1.5937730979894364,0.8562029107141007,-1.44,3.808216863780665,6.1370239590910085,4.017669637314807,10.188240961137378,25.552403003073884,14.817828337479405,12.745849802658757,39.82861406884167,29.065158306170954,4.254883813889036,0,0,0,0,0,43.23813014588691,0,10.188240961137378,5.893957685363079,31.46905229575446,0,29.733126322350174,0,0,15.930470882759089,0,10.00407100511562,13.890918331732184,4.715119613734132,0,25.78862164991795,30.394138709682345,13.7075855617022,11.749276256368875,7.429734546677846,1.4118420783282006,11.454490810640218,5.907179729351506,0,12,0,0,0,0,1,0,2,0,4,0,19,28,3,0,3,3,0,9,10,6,0,0,0,0,3,1,3,6,0,6,0,0,0,0,1,0,0,0,0,0,0
"CHEMBL2088996","O=C(NO)[C@H]1[C@@H](OCc2ccccc2)CCN1S(=O)(=O)c1ccc(Cl)cc1","IC50","'='",1700,"nM","CHEMBL4372",60.322827808738666,2.1937999999999995,98.69700000000003,188.9085628062982,95.94,410.87899999999985,410.0703203880005,7,2,7,2,5,1,9,27,46,2,0,3,2,1,1,0,1,1,2,0,0,0.2777777777777778,14.294306933738504,8.44280871749559,6.5291422654891065,4.463244569828936,2.9036211405915218,15.980242801649542,4.427648450689592,2.799652807336392,1.699355045963822,-1.9699999999999989,6.821603007210488,8.366514039634858,4.3079942336524395,5.4731213474032465,42.43449670563605,26.113676534195744,0,35.239271847920115,59.277251844487424,7.865675049302161,0,0,0,0,11.600939890232516,49.30466813369922,0,9.77833733869948,0,29.925304115063078,6.496859684315945,64.96785317440796,0,0,27.531410772991606,4.736862953800049,10.00407100511562,13.890918331732184,4.305215991296234,0,41.81303342854899,36.10605122367956,17.00252722273815,35.354347975596916,6.017892468349645,1.4118420783282006,11.454490810640218,5.907179729351506,0,18,0,1,0,0,1,0,1,1,5,0,27,28,3,0,11,6,0,7,12,7,0,0,0,0,4,2,2,2,0,13,4,0,0,1,2,0,0,0,0,0,0
"CHEMBL3634977","CC(=O)NCCCCCN([C@H](C)C(=O)NO)S(=O)(=O)c1ccc(F)c(C)c1","IC50","'='",4300,"nM","CHEMBL4372",2.777224143586148,1.3251200000000005,96.95470000000005,195.03496868934891,115.81,403.47599999999966,403.1577201520007,8,3,14,3,5,2,10,27,53,1,0,1,1,0,0,0,0,0,1,0,0,0.5294117647058824,13.485591583220007,7.5579336947543885,5.646688864174479,3.701094037169585,2.2548712412681473,18.92054584741753,3.9231595223841897,2.2264845111816554,1.1769765746685323,-2.04,5.5177163361419925,10.334458681775576,6.562669390522183,10.782934700691623,48.75851809235351,19.612365521551226,12.669112958341575,69.9134572221916,23.02273959850766,4.254883813889036,0,0,4.39041504767482,0,0,63.389150826995355,0,15.088150691987856,0,50.58782699974259,12.99371936863189,29.507928455732774,0,0,21.837650612110593,5.309813353288376,14.79860818918744,18.281333379407002,4.305215991296234,0,6.372924901329379,50.14034165193699,45.89002405316178,10.378517700198655,11.83511330939554,2.8236841566564013,17.361670539991724,5.907179729351506,0,17,1,0,0,0,1,0,3,0,5,0,27,43,4,0,3,3,0,14,13,8,0,0,0,0,5,1,5,10,0,6,0,0,0,0,1,0,0,0,0,0,0
"CHEMBL3634981","Cc1cc(S(=O)(=O)N(Cc2ccc(CN)cc2)[C@H](C)C(=O)NO)ccc1F.Cl","IC50","'='",5600,"nM","CHEMBL4372",30.812165784259776,1.6776199999999997,97.59040000000003,188.3340333683579,112.73,395.4559999999997,395.1315054040006,7,4,11,3,5,1,9,27,49,1,0,2,2,0,0,0,0,0,2,0,0,0.2777777777777778,13.577343292756144,7.880202751772478,6.104732900891004,4.15545049071082,2.609715637445659,17.190028499935575,4.381203559100717,2.6808409647228912,1.4861774243872792,-2.329999999999999,6.082405378227676,8.572550610491444,4.69238230162512,11.19283832312952,29.85761899437012,27.81154770611129,12.669112958341575,48.21590060345066,47.192414429160834,5.666725892217236,0,0,4.39041504767482,0,0,53.1526629404006,0,9.77833733869948,5.719716975726273,37.61087954709066,0,64.80450626977995,0,0,15.930470882759089,5.719716975726273,10.00407100511562,18.281333379407002,4.305215991296234,0,24.16967483065318,48.52139483267223,26.701304930334086,15.861551924879533,14.658797466051942,1.4118420783282006,11.454490810640218,5.907179729351506,0,18,1,0,0,0,1,0,3,0,4,0,27,35,3,0,6,6,0,11,11,7,0,0,0,0,4,1,4,6,0,12,0,0,0,0,2,0,0,0,0,0,0
"CHEMBL3634960","Cc1cc(S(=O)(=O)N(CCOCc2ccccc2)[C@H](C)C(=O)NO)ccc1F","IC50","'='",14000,"nM","CHEMBL4372",66.64094732891111,2.23552,100.51800000000004,195.76148725093984,95.94,410.4669999999997,410.1311710560006,7,2,12,2,5,1,9,28,51,1,0,2,2,0,0,0,0,0,2,0,0,0.3157894736842105,14.038377987720047,8.064844244486363,6.049115719863912,4.056611384651537,2.4717027364230977,17.980242801649542,4.325586378073624,2.5820018586636078,1.402183816657251,-2.329999999999999,6.33250946603938,9.740346911186942,5.353169493223749,5.4731213474032465,42.91346392160236,26.113676534195744,12.669112958341575,46.76472478026432,53.23483313682413,2.843041735560835,0,0,4.39041504767482,0,0,59.17811740605493,0,9.77833733869948,0,31.17614542137507,13.055844927232233,65.28347348574624,0,0,15.930470882759089,4.736862953800049,10.00407100511562,18.281333379407002,4.305215991296234,0,30.212093538316473,42.957943340975234,17.462928133677703,35.833315191563216,11.83511330939554,1.4118420783282006,11.454490810640218,5.907179729351506,0,19,1,0,0,0,1,0,2,0,5,0,28,37,3,0,6,6,0,12,12,7,0,0,0,0,4,2,3,7,0,12,0,0,0,0,2,0,0,0,0,0,0
"CHEMBL3634959","Cc1cc(S(=O)(=O)N(Cc2c(F)cccc2F)[C@H](C)C(=O)NO)ccc1F","IC50","'='",13000,"nM","CHEMBL4372",11.889294959261965,2.49712,89.61500000000002,177.81930559748534,86.71000000000001,402.3939999999998,402.08611268400045,6,2,9,2,4,1,10,27,44,1,0,2,2,0,0,0,0,0,2,0,0,0.23529411764705882,13.38605864327464,7.7845604270317255,6.120893975025243,4.202120446592752,2.6459199118540395,14.699958984194906,4.397364633234954,2.727510920604823,1.5223816987956604,-2.4299999999999997,7.532116369953531,8.070927069356404,4.288189464310928,5.4731213474032465,29.85761899437012,21.314688021795348,24.303554640433365,38.54017344324298,41.14999572149754,2.843041735560835,0,0,13.171245143024459,0,0,54.99753321058319,0,9.77833733869948,0,31.11401986277472,0,64.83307775251144,0,0,15.930470882759089,0,10.00407100511562,27.062163474756645,4.305215991296234,0,6.042418707663295,49.47932926460483,23.026379625374698,14.490793368709314,23.46955499148733,1.4118420783282006,11.454490810640218,5.907179729351506,0,17,3,0,0,0,1,0,2,0,4,0,27,30,3,0,6,6,0,9,10,6,0,0,0,0,6,1,3,5,0,12,0,0,0,0,2,0,0,0,0,0,0
"CHEMBL3634958","Cc1cc(S(=O)(=O)N(Cc2ccccc2F)[C@H](C)C(=O)NO)ccc1F","IC50","'='",33000,"nM","CHEMBL4372",23.734827925151865,2.3580200000000007,89.65700000000004,175.0587406947269,86.71000000000001,384.4039999999997,384.0955344960005,6,2,9,2,4,1,9,26,44,1,0,2,2,0,0,0,0,0,2,0,0,0.23529411764705882,13.008094170265412,7.595578190527112,5.931911738520629,4.060383769214291,2.5596883535025303,15.010976747690293,4.208382396730341,2.5857742432263624,1.436150140444151,-2.3599999999999994,6.664474724470149,7.897324898457314,4.061936564536289,5.4731213474032465,29.85761899437012,21.314688021795348,18.48633379938747,39.9109319994132,47.192414429160834,2.843041735560835,0,0,8.78083009534964,0,0,51.97787671907859,0,9.77833733869948,0,31.11401986277472,0,65.05827561912884,0,0,15.930470882759089,0,10.00407100511562,22.671748427081823,4.305215991296234,0,18.127256122989884,43.436910556941534,23.026379625374698,15.861551924879533,17.652334150441433,1.4118420783282006,11.454490810640218,5.907179729351506,0,17,2,0,0,0,1,0,2,0,4,0,26,30,3,0,6,6,0,9,10,6,0,0,0,0,5,1,3,5,0,12,0,0,0,0,2,0,0,0,0,0,0
