"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4073105";"";"None";"2081.61";"None";"None";"RTD-1";"CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2";"IC50";"'='";"1059.0";"nM";"5.97";"";"";"UO_0000065";"2.87";"None";"None";"None";"0";"CHEMBL4008432";"Inhibition of Bacillus anthracis lethal factor protease preincubated for 30 mins prior to addition of substrate containing fluorescent proteins CyPet and YPet measured every 2 mins for 3 hrs in presence of 0.1% BSA by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL4007405";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4093314";"";"None";"2054.54";"None";"None";"RTD-1 R18E";"CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"2.66";"None";"None";"None";"0";"CHEMBL4008429";"Inhibition of Bacillus anthracis lethal factor protease preincubated for 30 mins prior to addition of substrate containing fluorescent proteins CyPet and YPet measured every 2 mins for 3 hrs by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL4007405";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4091910";"";"None";"2038.58";"None";"None";"RTD-1 R8L purified";"CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CSSC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N3)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N2";"IC50";"'='";"558.0";"nM";"6.25";"";"";"UO_0000065";"3.07";"None";"None";"None";"0";"CHEMBL4008429";"Inhibition of Bacillus anthracis lethal factor protease preincubated for 30 mins prior to addition of substrate containing fluorescent proteins CyPet and YPet measured every 2 mins for 3 hrs by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL4007405";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL276126";"";"None";"431.78";"0";"4.74";"17";"O=C(O)CN1C(=O)S/C(=C\c2ccc(-c3cc(C(F)(F)F)ccc3Cl)o2)C1=O";"IC50";"'='";"5900.0";"nM";"5.23";"";"";"UO_0000065";"12.11";"0.26";"0.49";"5.95";"0";"CHEMBL864614";"Inhibitory activity against anthrax lethal factor metalloprotease";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1148588";"1";"Scientific Literature";"J Med Chem";"2006";"None";""
"CHEMBL3099031";"";"None";"404.47";"1";"5.59";"18m, MBX1048";"Cc1cc(N)c2cc(NC(=O)c3ccc(-c4ccc5ncccc5c4)cc3)ccc2n1";"IC50";"'='";"1246.0";"nM";"5.90";"";"";"UO_0000065";"14.60";"0.26";"0.31";"7.30";"0";"CHEMBL3100544";"Non-competitive inhibition of Bacillus anthracis lethal factor using 12.5 uM MCA-KKVYPYPME[dnp]K amide as substrate after 30 mins by Eadie-Hofstee plot analysis";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3098056";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";""
"CHEMBL3098989";"";"None";"335.36";"0";"3.04";"18r";"Cc1cc(N)c2cc(NC(=O)Cc3ccc4c(c3)OCO4)ccc2n1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3100684";"Inhibition of Bacillus anthracis lethal factor assessed as MCA-KKVYPYPME[dnp]K amide cleavage after 30 mins by fluorescence plate reader analysis";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3098056";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";""
"CHEMBL3099003";"";"None";"365.43";"0";"3.71";"18x";"COc1cccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1OC";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3100684";"Inhibition of Bacillus anthracis lethal factor assessed as MCA-KKVYPYPME[dnp]K amide cleavage after 30 mins by fluorescence plate reader analysis";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3098056";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";""
"CHEMBL382396";"";"None";"392.48";"0";"2.38";"23";"Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)C)ccc1OCc1ccccc1";"IC50";"'>'";"20000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL861855";"Inhibition of LF by MACK assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL202623";"";"None";"304.34";"0";"0.94";"16";"Cc1cc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)C)ccc1F";"IC50";"'='";"120.0";"nM";"6.92";"";"";"UO_0000065";"22.74";"0.47";"5.98";"7.25";"0";"CHEMBL861855";"Inhibition of LF by MACK assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL202104";"";"None";"286.35";"0";"0.80";"15";"Cc1cccc(S(=O)(=O)N[C@@H](C(=O)NO)C(C)C)c1";"IC50";"'='";"1290.0";"nM";"5.89";"";"";"UO_0000065";"20.57";"0.42";"5.09";"6.17";"0";"CHEMBL861855";"Inhibition of LF by MACK assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1138106";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";""
"CHEMBL3099001";"";"None";"335.41";"0";"3.71";"18v";"COc1cccc(CCC(=O)Nc2ccc3nc(C)cc(N)c3c2)c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3100684";"Inhibition of Bacillus anthracis lethal factor assessed as MCA-KKVYPYPME[dnp]K amide cleavage after 30 mins by fluorescence plate reader analysis";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3098056";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";""
"CHEMBL3099004";"";"None";"425.49";"0";"4.92";"18y";"Cc1cc(N)c2cc(NC(=O)CCc3ccccc3OC(=O)c3ccccc3)ccc2n1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3100684";"Inhibition of Bacillus anthracis lethal factor assessed as MCA-KKVYPYPME[dnp]K amide cleavage after 30 mins by fluorescence plate reader analysis";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3098056";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";""
"CHEMBL2088996";"";"None";"410.88";"0";"2.19";"39";"O=C(NO)[C@H]1[C@@H](OCc2ccccc2)CCN1S(=O)(=O)c1ccc(Cl)cc1";"IC50";"'='";"1700.0";"nM";"5.77";"";"";"UO_0000065";"14.04";"0.29";"3.58";"6.01";"0";"CHEMBL2092354";"Inhibition of Bacillus anthracis lethal factor using protease substrate-2 assessed as release of p-nitroaniline measured for 10 mins by spectrophotometric assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL2086233";"1";"Scientific Literature";"Eur J Med Chem";"2012";"None";""
"CHEMBL563358";"";"None";"424.55";"0";"4.49";"109";"COc1ccc(-c2ccc(S(=O)(=O)NCCc3nc4ccccc4s3)cc2)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL549884";"";"None";"321.35";"0";"3.88";"117";"Cc1ccc(NS(=O)(=O)c2cccs2)cc1C(F)(F)F";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL557082";"";"None";"396.49";"0";"4.77";"103";"COc1ccc(-c2ccc(S(=O)(=O)Nc3nc4ccccc4s3)cc2)cc1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1024480";"Inhibition of Bacillus anthracis lethal factor assessed as cleavage of MAPKK by fluorescence peptide cleavage assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1151859";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";""
"CHEMBL3634977";"";"None";"403.48";"0";"1.33";"7e";"CC(=O)NCCCCCN([C@H](C)C(=O)NO)S(=O)(=O)c1ccc(F)c(C)c1";"IC50";"'='";"4300.0";"nM";"5.37";"";"";"UO_0000065";"13.30";"0.27";"4.04";"4.63";"0";"CHEMBL3637359";"Inhibition of Bacillus anthracis Lethal factor after 10 mins by mobility shift protease assay using 8 uM FITC as substrate";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL3634981";"";"None";"431.92";"0";"1.68";"16";"Cc1cc(S(=O)(=O)N(Cc2ccc(CN)cc2)[C@H](C)C(=O)NO)ccc1F.Cl";"IC50";"'='";"5600.0";"nM";"5.25";"";"";"UO_0000065";"13.28";"0.27";"3.57";"4.66";"0";"CHEMBL3637360";"Inhibition of Bacillus anthracis Lethal factor after 5 mins by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL3634960";"";"None";"410.47";"0";"2.24";"3g";"Cc1cc(S(=O)(=O)N(CCOCc2ccccc2)[C@H](C)C(=O)NO)ccc1F";"IC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"11.83";"0.24";"2.61";"5.06";"0";"CHEMBL3637359";"Inhibition of Bacillus anthracis Lethal factor after 10 mins by mobility shift protease assay using 8 uM FITC as substrate";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL3634959";"";"None";"402.39";"0";"2.50";"3f";"Cc1cc(S(=O)(=O)N(Cc2c(F)cccc2F)[C@H](C)C(=O)NO)ccc1F";"IC50";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"12.14";"0.25";"2.39";"5.63";"0";"CHEMBL3637359";"Inhibition of Bacillus anthracis Lethal factor after 10 mins by mobility shift protease assay using 8 uM FITC as substrate";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL3634958";"";"None";"384.40";"0";"2.36";"3e";"Cc1cc(S(=O)(=O)N(Cc2ccccc2F)[C@H](C)C(=O)NO)ccc1F";"IC50";"'='";"33000.0";"nM";"4.48";"";"";"UO_0000065";"11.66";"0.24";"2.12";"5.17";"0";"CHEMBL3637360";"Inhibition of Bacillus anthracis Lethal factor after 5 mins by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL3634962";"";"None";"509.60";"1";"3.29";"3j";"Cc1cc(S(=O)(=O)N(Cc2ccc(CCNC(=O)OC(C)(C)C)cc2)[C@H](C)C(=O)NO)ccc1F";"IC50";"'='";"6900.0";"nM";"5.16";"";"";"UO_0000065";"10.13";"0.20";"1.87";"4.13";"0";"CHEMBL3637360";"Inhibition of Bacillus anthracis Lethal factor after 5 mins by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL3634976";"";"None";"417.50";"0";"1.72";"7d";"CC(=O)NCCCCCCN([C@H](C)C(=O)NO)S(=O)(=O)c1ccc(F)c(C)c1";"IC50";"'='";"3900.0";"nM";"5.41";"";"";"UO_0000065";"12.96";"0.26";"3.69";"4.67";"0";"CHEMBL3637359";"Inhibition of Bacillus anthracis Lethal factor after 10 mins by mobility shift protease assay using 8 uM FITC as substrate";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL3634975";"";"None";"451.52";"0";"1.90";"7c";"CC(=O)NCCc1ccc(CN([C@H](C)C(=O)NO)S(=O)(=O)c2ccc(F)c(C)c2)cc1";"IC50";"'='";"3200.0";"nM";"5.50";"";"";"UO_0000065";"12.17";"0.24";"3.59";"4.74";"0";"CHEMBL3637359";"Inhibition of Bacillus anthracis Lethal factor after 10 mins by mobility shift protease assay using 8 uM FITC as substrate";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL3632585";"1";"Scientific Literature";"J Med Chem";"2015";"None";""
"CHEMBL1933880";"";"None";"329.32";"0";"4.02";"10e";"N#C/C(=C\c1c[nH]c2cccc([N+](=O)[O-])c12)c1nc2ccccc2[nH]1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1936265";"Inhibition of Bacillus anthracis lethal factor using MCA-KKVYPYPME[dnp]Kamide peptide substrate after 30 mins by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1933027";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";""
"CHEMBL1933886";"";"None";"332.45";"1";"6.02";"14a";"N#C/C(=C\c1ccc(-c2cccs2)s1)c1cc2ccccc2[nH]1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1936265";"Inhibition of Bacillus anthracis lethal factor using MCA-KKVYPYPME[dnp]Kamide peptide substrate after 30 mins by FRET assay";"B";"BAO_0000357";"single protein format";"Bacillus anthracis";"None";"None";"None";"None";"";"";"";"CHEMBL4372";"Anthrax lethal factor";"Bacillus anthracis";"SINGLE PROTEIN";"CHEMBL1933027";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"None";""
