Neural Network 

203 samples
 61 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 5 times) 
Summary of sample sizes: 182, 183, 183, 184, 182, 182, ... 
Resampling results across tuning parameters:

  size  decay  Accuracy   Kappa    
   1    1e-05  0.6863509  0.3686259
   1    1e-04  0.6779373  0.3539009
   1    1e-03  0.6815514  0.3574734
   1    1e-02  0.6980201  0.3915076
   1    1e-01  0.7287519  0.4536838
   1    1e+00  0.7299474  0.4521355
   2    1e-05  0.6754461  0.3488262
   2    1e-04  0.6922130  0.3825235
   2    1e-03  0.7155188  0.4247125
   2    1e-02  0.6857368  0.3669426
   2    1e-01  0.7122907  0.4192450
   2    1e+00  0.7331479  0.4581955
   3    1e-05  0.6783308  0.3527990
   3    1e-04  0.6616842  0.3205709
   3    1e-03  0.6774937  0.3532717
   3    1e-02  0.6855714  0.3697764
   3    1e-01  0.7204336  0.4355683
   3    1e+00  0.7321429  0.4564577
   4    1e-05  0.6982281  0.3945439
   4    1e-04  0.6973183  0.3919840
   4    1e-03  0.6663985  0.3300720
   4    1e-02  0.6956090  0.3875443
   4    1e-01  0.7241955  0.4424739
   4    1e+00  0.7301429  0.4526620
   5    1e-05  0.7046291  0.4059080
   5    1e-04  0.6824712  0.3612715
   5    1e-03  0.6502406  0.2978533
   5    1e-02  0.6974085  0.3915791
   5    1e-01  0.7271378  0.4483396
   5    1e+00  0.7310952  0.4545275
   6    1e-05  0.6984236  0.3925486
   6    1e-04  0.6869900  0.3723012
   6    1e-03  0.6803584  0.3588643
   6    1e-02  0.6951429  0.3874587
   6    1e-01  0.7272481  0.4487348
   6    1e+00  0.7301429  0.4526620
   7    1e-05  0.6801353  0.3563007
   7    1e-04  0.6845664  0.3660194
   7    1e-03  0.6830602  0.3629119
   7    1e-02  0.7104386  0.4183357
   7    1e-01  0.7361579  0.4668148
   7    1e+00  0.7310952  0.4545275
   8    1e-05  0.6909524  0.3785753
   8    1e-04  0.6846566  0.3630288
   8    1e-03  0.6726416  0.3447441
   8    1e-02  0.6936992  0.3834731
   8    1e-01  0.7286566  0.4514350
   8    1e+00  0.7310952  0.4545275
   9    1e-05  0.6824135  0.3600220
   9    1e-04  0.6779850  0.3520187
   9    1e-03  0.6846566  0.3644494
   9    1e-02  0.7023659  0.3997726
   9    1e-01  0.7279098  0.4493536
   9    1e+00  0.7310952  0.4545275
  10    1e-05  0.6959123  0.3882728
  10    1e-04  0.6787469  0.3529265
  10    1e-03  0.6697043  0.3362606
  10    1e-02  0.7115388  0.4191393
  10    1e-01  0.7289524  0.4526512
  10    1e+00  0.7310952  0.4545275
  11    1e-05  0.6695890  0.3354458
  11    1e-04  0.6789699  0.3526115
  11    1e-03  0.6811554  0.3595115
  11    1e-02  0.6984712  0.3928335
  11    1e-01  0.7289474  0.4515485
  11    1e+00  0.7310952  0.4545275
  12    1e-05  0.6832180  0.3623365
  12    1e-04  0.6834035  0.3622031
  12    1e-03  0.6758747  0.3479766
  12    1e-02  0.7036566  0.4031045
  12    1e-01  0.7311003  0.4563646
  12    1e+00  0.7301429  0.4526624
  13    1e-05  0.6848947  0.3667972
  13    1e-04  0.6768271  0.3481774
  13    1e-03  0.6872607  0.3712249
  13    1e-02  0.7083860  0.4122236
  13    1e-01  0.7281529  0.4508702
  13    1e+00  0.7311955  0.4547361
  14    1e-05  0.6724461  0.3404100
  14    1e-04  0.6918571  0.3784458
  14    1e-03  0.6661604  0.3304678
  14    1e-02  0.7066767  0.4099216
  14    1e-01  0.7300627  0.4545584
  14    1e+00  0.7311955  0.4547361
  15    1e-05  0.6957669  0.3871040
  15    1e-04  0.6837419  0.3615842
  15    1e-03  0.6735514  0.3415711
  15    1e-02  0.6966617  0.3896968
  15    1e-01  0.7231479  0.4403762
  15    1e+00  0.7311955  0.4547361
  16    1e-05        NaN        NaN
  16    1e-04        NaN        NaN
  16    1e-03        NaN        NaN
  16    1e-02        NaN        NaN
  16    1e-01        NaN        NaN
  16    1e+00        NaN        NaN

Accuracy was used to select the optimal model using the largest value.
The final values used for the model were size = 7 and decay = 0.1.
